Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_btn login_btn""))",Firefox 127.0,,,05-07-2024 13:52:43,05-07-2024 13:52:43,0.437s,PASSED
"println(""The login button should be clickable"")",Firefox 127.0,,,05-07-2024 13:52:43,05-07-2024 13:52:43,0.000s,PASSED
"takeScreenshot(""C:\Taskbuddy\EmptyData.png"")",Firefox 127.0,,,05-07-2024 13:52:43,05-07-2024 13:52:44,0.388s,PASSED
Start listener action : AfterTestCase,Firefox 127.0,,,05-07-2024 13:52:44,05-07-2024 13:52:45,0.880s,PASSED
,,,,,,,
Test Cases/Registration/TC007_Create a new account with empty data,Firefox 127.0,,,05-07-2024 13:52:45,05-07-2024 13:52:52,7.674s,PASSED
Start listener action : BeforeTestCase,Firefox 127.0,,,05-07-2024 13:52:45,05-07-2024 13:52:46,1.924s,PASSED
navigateToUrl(URL),Firefox 127.0,,,05-07-2024 13:52:47,05-07-2024 13:52:47,0.403s,PASSED
ActualURL = getUrl(),Firefox 127.0,,,05-07-2024 13:52:47,05-07-2024 13:52:47,0.006s,PASSED
"ExpectedURL = ""https://task-buddy-d414881265e1.herokuapp.com/""",Firefox 127.0,,,05-07-2024 13:52:47,05-07-2024 13:52:47,0.000s,PASSED
"verifyMatch(ActualURL, ExpectedURL, false)",Firefox 127.0,,,05-07-2024 13:52:47,05-07-2024 13:52:47,0.002s,PASSED
"println(""The website is accessible"")",Firefox 127.0,,,05-07-2024 13:52:47,05-07-2024 13:52:47,0.000s,PASSED
"click(findTestObject(""Object Repository/Registration/Page_TaskBuddy/a_Register""))",Firefox 127.0,,,05-07-2024 13:52:47,05-07-2024 13:52:49,2.293s,PASSED
ActualRegisterUrl = getUrl(),Firefox 127.0,,,05-07-2024 13:52:49,05-07-2024 13:52:49,0.009s,PASSED
"ExpectedRegisterUrl = ""https://task-buddy-d414881265e1.herokuapp.com/register""",Firefox 127.0,,,05-07-2024 13:52:49,05-07-2024 13:52:49,0.001s,PASSED
"verifyMatch(ActualRegisterUrl, ExpectedRegisterUrl, false)",Firefox 127.0,,,05-07-2024 13:52:49,05-07-2024 13:52:49,0.002s,PASSED
"println(""The url is correct"")",Firefox 127.0,,,05-07-2024 13:52:49,05-07-2024 13:52:49,0.000s,PASSED
"ActualRegisterTitle = getText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/strong_Register_Title""))",Firefox 127.0,,,05-07-2024 13:52:49,05-07-2024 13:52:50,0.432s,PASSED
"ExpectedRegisterTitle = ""Register""",Firefox 127.0,,,05-07-2024 13:52:50,05-07-2024 13:52:50,0.001s,PASSED
"verifyMatch(ActualRegisterTitle, ExpectedRegisterTitle, false)",Firefox 127.0,,,05-07-2024 13:52:50,05-07-2024 13:52:50,0.001s,PASSED
"println(""The title is Register"")",Firefox 127.0,,,05-07-2024 13:52:50,05-07-2024 13:52:50,0.001s,PASSED
"setText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_email""), email)",Firefox 127.0,,,05-07-2024 13:52:50,05-07-2024 13:52:50,0.465s,PASSED
"println(""The email should be filled"")",Firefox 127.0,,,05-07-2024 13:52:50,05-07-2024 13:52:50,0.001s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Registration/Page_TaskBuddy/input_Register_password""), password)",Firefox 127.0,,,05-07-2024 13:52:50,05-07-2024 13:52:50,0.241s,PASSED
"println(""The password should be filled"")",Firefox 127.0,,,05-07-2024 13:52:50,05-07-2024 13:52:50,0.001s,PASSED
